Designator,Mid X,Mid Y,Rotation,Layer
1-11V5A1,131.5,-48.74,90.0,top
12V5A1,131.5,-61.74,90.0,top
24V60A1,67.83,-43.32,270.0,top
24V60A2,56.2,-43.3,270.0,top
5V3A1,127.455,-75.74,90.0,top
BATT1,43.5,-63.17,270.0,top
BZ1,104.4,-92.9,270.0,top
C1,54.2,-115.2,0.0,top
C10,50.125,-115.2,180.0,top
C11,54.2,-68.325,270.0,top
C12,85.03336,-114.2891,270.0,top
C13,83.47836,-114.2891,270.0,top
C14,81.92336,-114.2891,270.0,top
C15,80.36836,-114.2891,270.0,top
C16,78.81336,-114.2891,270.0,top
C17,55.38,-77.74,270.0,top
C18,60.14,-84.63,0.0,top
C19,57.505,-75.34,0.0,top
C2,121.3,-89.505,270.0,top
C20,119.0,-47.825,270.0,top
C21,118.9,-61.125,270.0,top
C22,102.275,-62.6,180.0,top
C23,99.0,-66.7,180.0,top
C24,95.825,-66.7,0.0,top
C25,91.0,-63.4,90.0,top
C26,119.0,-74.375,270.0,top
C27,102.3,-75.8,180.0,top
C28,99.0,-79.9,180.0,top
C29,95.8,-79.9,0.0,top
C3,111.1,-89.505,270.0,top
C30,91.0,-76.6,90.0,top
C31,102.3,-49.4,180.0,top
C32,99.0,-53.6,180.0,top
C33,95.775,-53.6,0.0,top
C34,90.9,-50.15,90.0,top
C36,121.815,-108.425,90.0,top
C37,109.9,-105.625,90.0,top
C4,50.1,-50.76,180.0,top
C5,50.1,-49.28,180.0,top
C6,50.1,-47.8,180.0,top
C7,50.1,-46.32,180.0,top
C8,81.276041,-67.28,0.0,top
C9,81.076041,-52.6,0.0,top
CAN1,127.555,-105.4,90.0,top
D1,75.31,-41.65,90.0,top
D10,93.0,-83.5,180.0,top
D2,128.0,-82.44,0.0,top
D3,39.287431,-77.206332,0.0,top
D4,108.4,-65.75,180.0,top
D5,108.4,-78.95,180.0,top
D6,108.4,-52.55,180.0,top
D7,117.115,-110.8125,270.0,top
D8,115.115,-110.775,270.0,top
D9,39.269931,-75.576332,0.0,top
DCDC12V1,97.400002,-63.400001,180.0,top
DCDC5V1,97.4,-76.600004,180.0,top
E_SW1,43.325,-82.5,270.0,top
F1,122.4,-77.29,90.0,top
F2,122.4,-63.99,90.0,top
F5,122.35,-50.69,90.0,top
GD1,59.0,-80.0,90.0,top
IC1,116.2,-92.005,180.0,top
J10,122.825,-103.87,0.0,top
J11,59.43,-118.0,270.0,bottom
J9,54.2,-82.57,0.0,top
L1,116.5,-67.2,180.0,top
L2,116.6,-80.3,180.0,top
L3,116.7,-53.9,180.0,top
Q1,65.5,-55.73,180.0,top
Q2,58.595,-55.73,180.0,top
Q3,58.605,-55.73,180.0,bottom
Q4,65.5,-55.73,180.0,bottom
R1,47.2,-79.8,90.0,top
R10,63.38,-77.173333,180.0,top
R11,102.275,-64.1,0.0,top
R12,98.9,-60.1,0.0,top
R13,115.725,-62.8,180.0,top
R14,95.9,-60.1,0.0,top
R15,102.3,-77.3,0.0,top
R16,99.0,-73.1,0.0,top
R17,115.4,-75.8,180.0,top
R18,95.875,-73.1,0.0,top
R19,102.3,-50.9,0.0,top
R2,54.2,-113.7,180.0,top
R20,98.8,-46.9,0.0,top
R21,95.8,-46.895004,0.0,top
R22,118.715,-110.8125,90.0,top
R23,113.515,-110.775,90.0,top
R24,122.525,-100.1,0.0,top
R25,42.342431,-75.576332,0.0,top
R26,89.8,-83.5,180.0,top
R3,107.575,-98.9,0.0,top
R4,50.125,-113.7,180.0,top
R5,42.342431,-77.206332,0.0,top
R6,63.38,-82.173333,180.0,top
R7,60.58,-75.34,0.0,top
R8,63.38,-80.506666,180.0,top
R9,63.38,-78.84,180.0,top
RSH1,51.69,-68.705,180.0,bottom
RV1,121.3,-38.915,90.0,top
SW2,82.96,-81.375,180.0,top
U1,51.68,-68.255,0.0,top
U2,64.81836,-99.9841,90.0,top
U5,97.4,-50.195,180.0,top
U6,116.105,-103.8,0.0,top
U7,72.0,-80.0,0.0,top
UART1,127.555,-92.0,90.0,top
